cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
LVA,2020,Europe & Central Asia,ECA,Latvia,LVA,2019,national,,,,income,,,2.237,0.0025,0.0019,0.0015,0.003,32.9305,26.9349,,,,,,,,,,,,,,,0.5538,1913822,16069.8404,9342.1888,FALSE,micro,survey
MAC,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAF,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,2020,Middle East & North Africa,MNA,Morocco,MAR,2019,national,,,,consumption,,,2.303,0.0142,0.0024,7e-04,0.0029,11.3877,8.3125,,,,,,,,,,,,,,,4.2908,36304408,3355.613,1955.6167,TRUE,micro,extrapolation
MCO,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,2020,Europe & Central Asia,ECA,Moldova,MDA,2019,national,,,,consumption,,,2.293,3e-04,0,1.5114e-06,0,12.1181,10.5156,,,,,,,,,,,,,,,6.3825,2664224,3439.1296,2976.7248,FALSE,micro,survey
MDG,2020,Sub-Saharan Africa,SSA,Madagascar,MDG,2019,national,,,,consumption,,,2.157,0.7888,0.404,0.2453,0.6613,1.6895,1.1883,,,,,,,,,,,,,,,962.9596,27533134,478.927,337.9674,TRUE,micro,extrapolation
MDV,2020,South Asia,SAS,Maldives,MDV,2019,national,,,,consumption,,,3.01,0,7.5673e-07,1.6221e-08,7.6496e-07,22.6101,19.1262,,,,,,,,,,,,,,,9.7936,504508,10753.1213,4936.2987,TRUE,micro,interpolation
MEX,2020,Latin America & Caribbean,LAC,Mexico,MEX,2019,national,,,,income,,,2.415,0.0364,0.0106,0.005,0.014,14.6424,9.85,,,,,,,,,,,,,,,9.8615,125085311,10013.7243,6747.1179,TRUE,micro,interpolation
MHL,2020,East Asia & Pacific,EAP,Marshall Islands,MHL,2019,national,,,,consumption,,,2.147,0.0085,0.0018,5e-04,0.0022,11.5648,9.1904,,,,,,,,,,,,,,,1.0292,44728,4998.7496,3838.3371,TRUE,micro,extrapolation
MKD,2020,Europe & Central Asia,ECA,North Macedonia,MKD,2019,national,,,,income,,,2.254,0.031,0.0117,0.0062,0.0176,14.9491,13.4756,,,,,,,,,,,,,,,22.1667,2076694,5386.2027,3806.5464,FALSE,micro,survey
MLI,2020,Sub-Saharan Africa,SSA,Mali,MLI,2019,national,,,,consumption,,,2.177,0.1531,0.031,0.0098,0.0379,4.9586,3.7931,,,,,,,,,,,,,,,205.2734,20567424,779.3266,584.8007,TRUE,micro,extrapolation
MLT,2020,Other High Income Countries,OHI,Malta,MLT,2019,national,,,,income,,,2.458,0.003,0.0016,0.0012,0.0054,54.5495,45.7108,,,,,,,,,,,,,,,0.6281,504062,28660.0277,13408.6061,FALSE,micro,survey
MMR,2020,East Asia & Pacific,EAP,Myanmar,MMR,2019,national,,,,consumption,,,2.105,0.0106,0.0016,4e-04,0.0019,7.3097,6.0783,,,,,,,,,,,,,,,389.8429,53040212,1587.4042,,TRUE,micro,extrapolation
MNE,2020,Europe & Central Asia,ECA,Montenegro,MNE,2019,national,,,,income,,,2.252,0.0288,0.0107,0.0062,0.0171,17.4967,15.0708,,,,,,,,,,,,,,,0.4187,622028,7684.1804,6091.2408,TRUE,micro,extrapolation
MNG,2020,East Asia & Pacific,EAP,Mongolia,MNG,2019,national,,,,consumption,,,2.147,0.0059,7e-04,2e-04,8e-04,10.2167,8.3899,,,,,,,,,,,,,,,873.542,3232430,4385.1117,2792.8122,TRUE,micro,extrapolation
MNP,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,2020,Sub-Saharan Africa,SSA,Mozambique,MOZ,2019,national,,,,consumption,,,2.257,0.7329,0.366,0.2234,0.6134,2.3134,1.3992,,,,,,,,,,,,,,,21.988,30285595,600.4034,394.9344,TRUE,micro,interpolation
MRT,2020,Sub-Saharan Africa,SSA,Mauritania,MRT,2019,national,,,,consumption,,,2.148,0.051,0.0115,0.004,0.0145,6.9164,5.813,,,,,,,,,,,,,,,124.4526,4383849,1670.0288,1026.8215,TRUE,micro,extrapolation
MUS,2020,Sub-Saharan Africa,SSA,Mauritius,MUS,2019,national,,,,consumption,,,2.539,0.0032,3e-04,1e-04,4e-04,17.6519,13.6099,,,,,,,,,,,,,,,18.0094,1265985,10956.945,7788.2697,TRUE,micro,extrapolation
MWI,2020,Sub-Saharan Africa,SSA,Malawi,MWI,2019,national,,,,consumption,,,2.186,0.6989,0.2923,0.1521,0.4288,2.138,1.5627,,,,,,,,,,,,,,,241.9305,18867337,573.4001,,TRUE,micro,interpolation
MYS,2020,East Asia & Pacific,EAP,Malaysia,MYS,2019,national,,,,income,,,2.272,1e-04,0,0,0,33.9062,25.0265,,,,,,,,,,,,,,,1.7269,32804020,11114.5427,6523.1009,TRUE,micro,extrapolation
NAM,2020,Sub-Saharan Africa,SSA,Namibia,NAM,2019,national,,,,consumption,,,2.426,0.2144,0.0772,0.0389,0.1126,10.8385,5.2862,,,,,,,,,,,,,,,6.8983,2446644,4596.6196,3427.6467,TRUE,micro,extrapolation
NCL,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,2020,Sub-Saharan Africa,SSA,Niger,NER,2019,national,,,,consumption,,,2.073,0.4738,0.1401,0.0566,0.1839,2.876,2.1495,,,,,,,,,,,,,,,245.1597,23443393,520.9194,366.3839,TRUE,micro,extrapolation
NGA,2020,Sub-Saharan Africa,SSA,Nigeria,NGA,2019,national,,,,consumption,,,2.225,0.3279,0.0976,0.0404,0.1297,3.6535,2.9513,,,,,,,,,,,,,,,123.6724,203304492,2505.4627,1853.4945,TRUE,micro,extrapolation
NIC,2020,Latin America & Caribbean,LAC,Nicaragua,NIC,2019,national,,,,income,,,2.188,0.041,0.0092,0.0034,0.0118,11.6882,8.0556,,,,,,,,,,,,,,,11.5284,6663924,1965.2779,1373.0625,TRUE,micro,extrapolation
NLD,2020,Other High Income Countries,OHI,Netherlands,NLD,2019,national,,,,income,,,2.309,0.001,4e-04,2e-04,7e-04,62.7148,54.417,,,,,,,,,,,,,,,0.8495,17344874,48443.7321,21162.6537,FALSE,micro,survey
NOR,2020,Other High Income Countries,OHI,Norway,NOR,2019,national,,,,income,,,2.306,0.0019,0.0014,0.0013,0.0043,74.0588,65.2839,,,,,,,,,,,,,,,10.7428,5347896,76712.2871,33268.0796,FALSE,micro,survey
NPL,2020,South Asia,SAS,Nepal,NPL,2019,national,,,,consumption,,,2.113,0.0267,0.0051,0.0015,0.0061,6.6629,5.3887,,,,,,,,,,,,,,,30.5129,28832496,1041.4296,857.9172,TRUE,micro,extrapolation
NRU,2020,East Asia & Pacific,EAP,Nauru,NRU,2019,national,,,,consumption,,,2.111,0.0081,8e-04,1e-04,8e-04,7.6747,6.1818,,,,,,,,,,,,,,,1.3761,12132,8365.0554,,TRUE,micro,extrapolation
NZL,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,2020,South Asia,SAS,Pakistan,PAK,2019,national,,,,consumption,,,2.251,0.0648,0.0086,0.0018,0.0097,4.9658,4.0653,,,,,,,,,,,,,,,33.2507,223293280,1431.2744,1230.482,TRUE,micro,extrapolation
PAN,2020,Latin America & Caribbean,LAC,Panama,PAN,2019,national,,,,income,,,2.571,0.0149,0.005,0.0027,0.0062,33.496,21.8541,,,,,,,,,,,,,,,0.5081,4232532,15166.8809,,FALSE,micro,survey
PER,2020,Latin America & Caribbean,LAC,Peru,PER,2019,national,,,,income,,,2.42,0.0406,0.0108,0.0044,0.0146,13.7971,10.4066,,,,,,,,,,,,,,,1.8936,32824861,6550.4475,4311.3532,FALSE,micro,survey
PHL,2020,East Asia & Pacific,EAP,Philippines,PHL,2019,national,,,,consumption,,,2.374,0.0678,0.0123,0.0035,0.0147,7.2445,5.4586,,,,,,,,,,,,,,,19.3925,110380804,3589.6136,2557.7651,TRUE,micro,interpolation
PLW,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,2020,East Asia & Pacific,EAP,Papua New Guinea,PNG,2019,national,,,,consumption,,,2.251,0.3246,0.1211,0.0616,0.1771,4.2632,3.2157,,,,,,,,,,,,,,,2.6999,9542486,2590.4942,,TRUE,micro,extrapolation
POL,2020,Europe & Central Asia,ECA,Poland,POL,2019,national,,,,consumption,,,2.223,0,0,0,0,20.4993,17.2409,,,,,,,,,,,,,,,1.8423,37965475,15053.2394,8818.639,FALSE,micro,survey
PRI,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,2020,Other High Income Countries,OHI,Portugal,PRT,2019,national,,,,income,,,2.315,0.0018,7e-04,3e-04,0.001,35.2619,29.4276,,,,,,,,,,,,,,,0.6574,10286263,21617.4116,14100.0951,FALSE,micro,survey
PRY,2020,Latin America & Caribbean,LAC,Paraguay,PRY,2019,national,,,,income,,,2.26,0.0131,0.0024,8e-04,0.0029,19.46,13.3391,,,,,,,,,,,,,,,2539.9849,6530026,6229.212,4079.9709,FALSE,micro,survey
PSE,2020,Middle East & North Africa,MNA,West Bank and Gaza,PSE,2019,national,,,,consumption,,,2.535,0.0098,0.0017,4e-04,0.002,13.7295,11.3416,,,,,,,,,,,,,,,2.0663,4685306,3378.4346,3015.0645,TRUE,micro,extrapolation
PYF,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,2020,Europe & Central Asia,ECA,Romania,ROU,2019,national,,,,income,,,2.224,0.0218,0.008,0.0047,0.0077,21.4669,19.0276,,,,,,,,,,,,,,,1.805,19371648,11252.8866,7546.5131,FALSE,micro,survey
RUS,2020,Europe & Central Asia,ECA,Russian Federation,RUS,2019,national,,,,consumption,,,2.28,5e-04,1e-04,8.9869e-06,1e-04,23.7168,17.9012,,,,,,,,,,,,,,,25.2183,144406261,9958.4697,5348.7827,FALSE,micro,survey
RWA,2020,Sub-Saharan Africa,SSA,Rwanda,RWA,2019,national,,,,consumption,,,2.319,0.4891,0.1664,0.0766,0.231,3.5058,2.3553,,,,,,,,,,,,,,,293.705,12835028,871.1099,652.0701,TRUE,micro,extrapolation
SAU,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,2020,Sub-Saharan Africa,SSA,Sudan,SDN,2019,national,,,,consumption,,,2.288,0.2723,0.0688,0.0262,0.0892,3.9489,3.1683,,,,,,,,,,,,,,,6.464,43232093,1950.0316,1744.1969,TRUE,micro,extrapolation
SEN,2020,Sub-Saharan Africa,SSA,Senegal,SEN,2019,national,,,,consumption,,,2.159,0.0903,0.0173,0.0054,0.0211,6.0358,4.4737,,,,,,,,,,,,,,,238.5777,16000781,1409.9708,968.9019,TRUE,micro,extrapolation
SGP,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,2020,East Asia & Pacific,EAP,Solomon Islands,SLB,2019,national,,,,consumption,,,2.562,0.3486,0.1034,0.044,0.1393,4.1749,3.2197,,,,,,,,,,,,,,,7.7144,674993,2203.9834,1397.6562,TRUE,micro,extrapolation
SLE,2020,Sub-Saharan Africa,SSA,Sierra Leone,SLE,2019,national,,,,consumption,,,2.087,0.2295,0.0494,0.0159,0.0605,3.9958,3.043,,,,,,,,,,,,,,,2128.5188,8046828,634.9856,554.1641,TRUE,micro,extrapolation
SLV,2020,Latin America & Caribbean,LAC,El Salvador,SLV,2019,national,,,,income,,,2.342,0.0184,0.0039,0.0012,0.0048,12.9517,9.8868,,,,,,,,,,,,,,,0.515,6280217,4105.6462,3394.1369,FALSE,micro,survey
SMR,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,2020,Europe & Central Asia,ECA,Serbia,SRB,2019,national,,,,consumption,,,2.176,5e-04,0,2.9611e-07,0,15.2907,13.1989,,,,,,,,,,,,,,,47.9923,6945235,6567.9081,4573.373,FALSE,micro,survey
SSD,2020,Sub-Saharan Africa,SSA,South Sudan,SSD,2019,national,,,,consumption,,,2.337,0.7491,0.3924,0.2468,0.6723,1.9082,1.3498,,,,,,,,,,,,,,,34.92,10447666,787.1836,,TRUE,imputed,extrapolation
STP,2020,Sub-Saharan Africa,SSA,Sao Tome and Principe,STP,2019,national,,,,consumption,,,2.145,0.148,0.0361,0.014,0.0473,5.5713,4.0826,,,,,,,,,,,,,,,11.4289,214599,1676.3963,,TRUE,micro,extrapolation
SUR,2020,Latin America & Caribbean,LAC,Suriname,SUR,2019,urban,,,,income,,,2.511,0.1623,0.1312,0.1213,0.0492,18.836,11.718,,,,,,,,,,,,,,,2.9343,396769,8756.1552,,TRUE,micro,extrapolation
SVK,2020,Europe & Central Asia,ECA,Slovak Republic,SVK,2019,national,,,,income,,,2.176,0.0012,3e-04,1e-04,3e-04,26.0436,24.7624,,,,,,,,,,,,,,,0.5793,5454147,18240.7209,10191.2609,FALSE,micro,survey
SVN,2020,Europe & Central Asia,ECA,Slovenia,SVN,2019,national,,,,income,,,2.325,0,0,0,0,43.4498,39.5008,,,,,,,,,,,,,,,0.6389,2088385,24125.392,12934.2198,FALSE,micro,survey
SWE,2020,Other High Income Countries,OHI,Sweden,SWE,2019,national,,,,income,,,2.236,0.0032,0.0024,0.0022,0.0029,57.7012,50.5687,,,,,,,,,,,,,,,9.2232,10278887,53490.3518,24363.0692,FALSE,micro,survey
SWZ,2020,Sub-Saharan Africa,SSA,Eswatini,SWZ,2019,national,,,,consumption,,,2.16,0.3411,0.1185,0.0568,0.1678,5.8893,3.0885,,,,,,,,,,,,,,,6.1177,1169613,3766.063,2385.8188,TRUE,micro,extrapolation
SXM,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,2020,Sub-Saharan Africa,SSA,Seychelles,SYC,2019,national,,,,income,,,2.284,0.0058,0.0012,4e-04,0.0015,23.0576,20.2043,,,,,,,,,,,,,,,9.0271,97625,16747.3433,5783.1309,TRUE,micro,extrapolation
SYR,2020,Middle East & North Africa,MNA,Syrian Arab Republic,SYR,2019,national,,,,consumption,,,5.123,0.9489,0.6206,0.4405,1.1432,2.0963,1.5672,,,,,,,,,,,,,,,151.7781,20098251,781.3912,421.7236,TRUE,micro,extrapolation
TCA,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,2020,Sub-Saharan Africa,SSA,Chad,TCD,2019,national,,,,consumption,,,2.209,0.328,0.0905,0.0355,0.118,3.8111,2.878,,,,,,,,,,,,,,,237.6564,16126866,652.7032,486.454,TRUE,micro,extrapolation
TGO,2020,Sub-Saharan Africa,SSA,Togo,TGO,2019,national,,,,consumption,,,2.569,0.3619,0.1211,0.0549,0.167,4.6098,3.2489,,,,,,,,,,,,,,,246.5965,8243094,837.4929,631.6452,TRUE,micro,extrapolation
THA,2020,East Asia & Pacific,EAP,Thailand,THA,2019,national,,,,consumption,,,2.172,0.001,3e-04,1e-04,3e-04,16.0433,12.5394,,,,,,,,,,,,,,,13.2873,71307763,6453.8941,3331.8166,FALSE,micro,survey
TJK,2020,Europe & Central Asia,ECA,Tajikistan,TJK,2019,national,,,,consumption,,,2.127,0.0367,0.0078,0.0028,0.01,7.6947,6.2975,,,,,,,,,,,,,,,2.5948,9337003,1172.0791,815.9631,TRUE,micro,extrapolation
TKM,2020,Europe & Central Asia,ECA,Turkmenistan,TKM,2019,national,,,,consumption,,,2.246,0.0167,0.0026,7e-04,0.0031,13.0405,9.3815,,,,,,,,,,,,,,,1.663,6158420,7422.3625,,TRUE,micro,extrapolation
TLS,2020,East Asia & Pacific,EAP,Timor-Leste,TLS,2019,national,,,,consumption,,,2.252,0.2522,0.053,0.0165,0.0645,3.5563,3.0072,,,,,,,,,,,,,,,0.5748,1280438,1530.8111,823.769,TRUE,micro,extrapolation
TON,2020,East Asia & Pacific,EAP,Tonga,TON,2019,national,,,,consumption,,,2.239,0.0174,0.0036,0.001,0.0042,8.9147,7.3962,,,,,,,,,,,,,,,1.7136,104951,4633.061,4508.321,TRUE,micro,extrapolation
TTO,2020,Latin America & Caribbean,LAC,Trinidad and Tobago,TTO,2019,national,,,,income,,,2.341,0.0025,0.0012,0.0012,4e-04,30.4953,23.4559,,,,,,,,,,,,,,,4.6616,1519955,15576.4346,,TRUE,group,extrapolation
TUN,2020,Middle East & North Africa,MNA,Tunisia,TUN,2019,national,,,,consumption,,,2.286,0.0015,2e-04,0,2e-04,14.575,12.0356,,,,,,,,,,,,,,,0.7423,12049314,4094.8806,2992.3983,TRUE,micro,extrapolation
TUR,2020,Europe & Central Asia,ECA,Turkiye,TUR,2019,national,,,,consumption,,,2.098,0.0034,4e-04,1e-04,5e-04,22.2029,16.1847,,,,,,,,,,,,,,,1.6467,83481684,11935.3879,6972.1131,FALSE,micro,survey
TUV,2020,East Asia & Pacific,EAP,Tuvalu,TUV,2019,national,,,,consumption,,,2.241,0.0014,2e-04,0,2e-04,12.1256,9.0826,,,,,,,,,,,,,,,1.251,10956,4197.2392,,TRUE,micro,extrapolation
TZA,2020,Sub-Saharan Africa,SSA,Tanzania,TZA,2019,national,,,,consumption,,,2.195,0.4451,0.134,0.0549,0.1769,3.3884,2.397,,,,,,,,,,,,,,,754.6215,59872579,1038.7363,601.2591,TRUE,micro,extrapolation
UGA,2020,Sub-Saharan Africa,SSA,Uganda,UGA,2019,national,,,,consumption,,,2.178,0.424,0.1378,0.0614,0.1895,3.556,2.487,,,,,,,,,,,,,,,1221.0876,42949080,920.0716,679.3153,TRUE,micro,interpolation
UKR,2020,Europe & Central Asia,ECA,Ukraine,UKR,2019,national,,,,consumption,,,2.101,0,0,0,0,14.9213,13.1278,,,,,,,,,,,,,,,7.0057,44386203,2425.635,1997.7584,FALSE,micro,survey
URY,2020,Latin America & Caribbean,LAC,Uruguay,URY,2019,national,,,,income,,,2.281,0.0013,4e-04,3e-04,4e-04,28.7793,21.998,,,,,,,,,,,,,,,24.8543,3428409,17563.2082,,FALSE,micro,survey
USA,2020,Other High Income Countries,OHI,United States,USA,2019,national,,,,income,,,2.238,0.01,0.0079,0.007,0.0256,85.8747,64.7308,,,,,,,,,,,,,,,1,328329953,60698.0113,41117.6343,FALSE,micro,survey
UZB,2020,Europe & Central Asia,ECA,Uzbekistan,UZB,2019,national,,,,consumption,,,2.187,0.2901,0.0819,0.0346,0.1101,3.6721,2.8908,,,,,,,,,,,,,,,1521.4752,33580350,3185.3346,2128.7367,TRUE,micro,extrapolation
VCT,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGB,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIR,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,2020,East Asia & Pacific,EAP,Vietnam,VNM,2019,national,,,,consumption,,,2.161,0.0078,0.0015,5e-04,0.0018,14.7025,11.7817,,,,,,,,,,,,,,,7807.6123,95776716,3288.3531,1935.0125,TRUE,micro,interpolation
VUT,2020,East Asia & Pacific,EAP,Vanuatu,VUT,2019,national,,,,consumption,,,2.314,0.1217,0.0284,0.0103,0.036,5.5141,4.735,,,,,,,,,,,,,,,117.3665,304404,2838.9883,1820.4999,TRUE,micro,interpolation
WSM,2020,East Asia & Pacific,EAP,Samoa,WSM,2019,national,,,,consumption,,,2.099,0.0068,8e-04,2e-04,9e-04,11.1628,8.2884,,,,,,,,,,,,,,,1.8513,211905,4322.4413,2968.6638,TRUE,micro,extrapolation
YEM,2020,Middle East & North Africa,MNA,"Yemen, Rep.",YEM,2019,national,,,,consumption,,,2.37,0.6421,0.2424,0.1175,0.3437,2.499,1.9128,,,,,,,,,,,,,,,255.6836,31546691,1182.5071,,TRUE,micro,extrapolation
ZAF,2020,Sub-Saharan Africa,SSA,South Africa,ZAF,2019,national,,,,consumption,,,2.312,0.2268,0.0796,0.0385,0.1137,11.8975,4.7353,,,,,,,,,,,,,,,6.5494,58087055,6189.2892,4046.2205,TRUE,micro,extrapolation
ZMB,2020,Sub-Saharan Africa,SSA,Zambia,ZMB,2019,national,,,,consumption,,,2.26,0.6237,0.3328,0.2149,0.5817,2.9806,1.6115,,,,,,,,,,,,,,,4.2238,18380477,1310.6222,,TRUE,micro,extrapolation
ZWE,2020,Sub-Saharan Africa,SSA,Zimbabwe,ZWE,2019,national,,,,consumption,,,2.255,0.4196,0.1477,0.0683,0.2045,4.5002,2.6533,,,,,,,,,,,,,,,0.485,15354608,1342.9896,990.4512,FALSE,imputed,survey
ABW,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2021,Sub-Saharan Africa,SSA,Angola,AGO,2019,national,,,,consumption,,,2.228,0.336,0.133,0.0709,0.2032,5.2981,3.3057,,,,,,,,,,,,,,,107.27,32353588,2569.7017,1404.1077,TRUE,micro,extrapolation
ALB,2021,Europe & Central Asia,ECA,Albania,ALB,2019,national,,,,consumption,,,2.095,0,0,0,0,13.7498,11.6073,,,,,,,,,,,,,,,50.3574,2854191,4543.3877,3591.2926,FALSE,micro,survey
AND,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,2021,Other High Income Countries,OHI,United Arab Emirates,ARE,2019,national,,,,income,,,2.448,0,0,0,0,85.9466,78.6864,,,,,,,,,,,,,,,2.8348,9211657,43785.4173,17854.9971,TRUE,group,extrapolation
ARG,2021,Latin America & Caribbean,LAC,Argentina,ARG,2019,urban,,,,income,,,2.309,0.0097,0.0036,0.0023,0.0034,26.0959,19.4754,,,,,,,,,,,,,,,10.8079,41339571,12716.2242,8271.9248,FALSE,micro,survey
ARM,2021,Europe & Central Asia,ECA,Armenia,ARM,2019,national,,,,consumption,,,2.385,0.0149,0.0023,6e-04,0.0027,7.9063,6.714,,,,,,,,,,,,,,,167.3122,2820602,4561.9678,3804.3075,FALSE,micro,survey
ASM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2021,Other High Income Countries,OHI,Australia,AUS,2019,national,,,,income,,,2.222,0.005,0.0041,0.0035,0.0146,63.2951,51.7803,,,,,,,,,,,,,,,1.5293,25340217,58492.2057,32073.968,TRUE,micro,extrapolation
AUT,2021,Other High Income Countries,OHI,Austria,AUT,2019,national,,,,income,,,2.277,0.0064,0.0048,0.0041,0.0141,66.1682,57.6429,,,,,,,,,,,,,,,0.8309,8879920,46647.081,23852.0657,FALSE,micro,survey
AZE,2021,Europe & Central Asia,ECA,Azerbaijan,AZE,2019,national,,,,consumption,,,2.153,0,0,0,0,19.7505,16.3746,,,,,,,,,,,,,,,0.487,10024283,5348.4541,,TRUE,micro,extrapolation
BDI,2021,Sub-Saharan Africa,SSA,Burundi,BDI,2019,national,,,,consumption,,,2.198,0.7312,0.3133,0.1668,0.4669,2.0184,1.4988,,,,,,,,,,,,,,,654.4216,11874838,270.1373,207.1296,TRUE,micro,extrapolation
BEL,2021,Other High Income Countries,OHI,Belgium,BEL,2019,national,,,,income,,,2.242,8e-04,6e-04,6e-04,3e-04,58.9865,52.6285,,,,,,,,,,,,,,,0.8453,11488980,43107.2148,22164.8884,FALSE,micro,survey
BEN,2021,Sub-Saharan Africa,SSA,Benin,BEN,2019,national,,,,consumption,,,2.102,0.1808,0.042,0.0145,0.0526,4.7459,3.5472,,,,,,,,,,,,,,,219.4763,12290444,1153.7262,787.1982,TRUE,micro,extrapolation
BFA,2021,Sub-Saharan Africa,SSA,Burkina Faso,BFA,2019,national,,,,consumption,,,2.093,0.2901,0.0751,0.0278,0.0958,4.345,2.9247,,,,,,,,,,,,,,,199.7414,20951639,716.0122,459.4514,TRUE,micro,extrapolation
BGD,2021,South Asia,SAS,Bangladesh,BGD,2019,national,,,,consumption,,,1.977,0.08,0.0134,0.0036,0.0159,4.702,3.8028,,,,,,,,,,,,,,,29.5141,165516222,1575.6559,1081.9091,TRUE,micro,interpolation
BGR,2021,Europe & Central Asia,ECA,Bulgaria,BGR,2019,national,,,,income,,,1.96,0.0079,0.003,0.0015,0.0042,27.4294,20.8615,,,,,,,,,,,,,,,0.7354,6975761,8242.314,5205.7981,FALSE,micro,survey
BHR,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,2021,Europe & Central Asia,ECA,Bosnia and Herzegovina,BIH,2019,national,,,,consumption,,,2.084,6e-04,1e-04,0,1e-04,26.3434,21.8874,,,,,,,,,,,,,,,0.7819,3360711,5558.0826,4194.3972,TRUE,micro,extrapolation
BLR,2021,Europe & Central Asia,ECA,Belarus,BLR,2019,national,,,,consumption,,,2.051,0,0,0,0,19.1325,17.1343,,,,,,,,,,,,,,,6165.2094,9419758,6267.7658,3425.8628,FALSE,micro,survey
BLZ,2021,Latin America & Caribbean,LAC,Belize,BLZ,2019,national,,,,income,,,2.222,0.1956,0.0837,0.0516,0.1323,8.0582,4.7844,,,,,,,,,,,,,,,1.309,389095,5907.3489,3519.5142,TRUE,micro,extrapolation
BMU,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,2021,Latin America & Caribbean,LAC,Bolivia,BOL,2019,national,,,,income,,,2.272,0.0217,0.0068,0.0032,0.009,19.6077,14.6929,,,,,,,,,,,,,,,2.6119,11777315,3242.9488,2244.932,FALSE,micro,survey
BRA,2021,Latin America & Caribbean,LAC,Brazil,BRA,2019,national,,,,income,,,2.211,0.0561,0.022,0.0122,0.0289,21.1151,12.8877,,,,,,,,,,,,,,,2.3274,211782878,8592.2102,5605.5095,FALSE,micro,survey
BRB,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,2021,South Asia,SAS,Bhutan,BTN,2019,national,,,,consumption,,,2.228,0.0045,8e-04,2e-04,0.001,13.5325,11.1228,,,,,,,,,,,,,,,20.4738,767459,3219.6414,1829.0473,TRUE,micro,interpolation
BWA,2021,Sub-Saharan Africa,SSA,Botswana,BWA,2019,national,,,,consumption,,,2.126,0.1287,0.0341,0.0134,0.0447,9.3453,5.1275,,,,,,,,,,,,,,,5.0087,2499702,6485.4604,2815.3277,TRUE,micro,extrapolation
CAF,2021,Sub-Saharan Africa,SSA,Central African Republic,CAF,2019,national,,,,consumption,,,2.341,0.6896,0.3284,0.1931,0.5284,2.3371,1.5808,,,,,,,,,,,,,,,306.8083,5209324,381.414,466.0255,TRUE,micro,interpolation
